2026-07-30 00:11:16.068 | DEBUG    | __main__:check_subprocess:524 - FFmpeg输入源: http://pull-flv-l11.douyincdn.com/stage/stream-696272795256750225_Stage0T000sd.flv?expire=1785946275&sign=f48ab0d4de850f35a8a57c22702702ed&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&unique_id=stream-696272795256750225_145_flv_Stage0T000sd&t_id=037-202607300011142F1D23B17B1B5FB8004A-vurV7c
2026-07-30 00:38:02.307 | ERROR    | __main__:check_subprocess:640 - 序号5 别捏七七 FFmpeg录制失败，返回码: -11 (signal 11: SIGSEGV)，完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-32/别捏七七_2026-07-30_00-38-01_segments.ts.ffmpeg.log
2026-07-30 00:43:00.686 | DEBUG    | __main__:start_record:1344 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 00:43:00.687 | DEBUG    | __main__:check_subprocess:525 - FFmpeg输入源: http://pull-hls-q26.douyincdn.com/stage/stream-119812067115664188_Stage0T000ld.m3u8?expire=6a736814&sign=049ed24b45583d851a7a4948b9a1b7be&exp_hrchy=h1&major_anchor_level=common&arch_hrchy=h1&t_id=037-2026073000430048DBFE03907D33DF0E92-zMvIR0
2026-07-30 00:43:00.688 | DEBUG    | __main__:check_subprocess:526 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-32/别捏七七_2026-07-30_00-43-00_segments.ts.ffmpeg.log
2026-07-30 00:55:40.222 | DEBUG    | __main__:start_record:1350 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 00:55:40.223 | ERROR    | __main__:start_record:1845 - 错误信息: write_ffmpeg_log_header() got an unexpected keyword argument 'input_url' 发生错误的行数: 1792
2026-07-30 00:58:48.818 | DEBUG    | __main__:start_record:1350 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 00:58:48.821 | ERROR    | __main__:start_record:1845 - 错误信息: write_ffmpeg_log_header() got an unexpected keyword argument 'input_url' 发生错误的行数: 1792
2026-07-30 01:03:53.213 | DEBUG    | __main__:start_record:1350 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 01:03:53.214 | ERROR    | __main__:start_record:1845 - 错误信息: write_ffmpeg_log_header() got an unexpected keyword argument 'input_url' 发生错误的行数: 1792
2026-07-30 01:04:27.939 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 01:04:27.941 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-hls-q26.douyincdn.com/stage/stream-119812067115664188_Stage0T000ld.m3u8?expire=6a736d1b&sign=30dcac9d54d6c19e9094632873a007f5&arch_hrchy=h1&exp_hrchy=h1&major_anchor_level=common&t_id=037-20260730010427D4C97ECCCBB154852ADB-A7PKW0
2026-07-30 01:04:27.941 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_01-04/别捏七七_2026-07-30_01-04-27_segments.ts.ffmpeg.log
2026-07-30 01:06:22.631 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-hs-f5.flive.douyincdn.com/thirdgame/stream-408042517626094346_Thirdgame0T010sd.flv?expire=1785949581&sign=58a3a9b31d8e3584beeec08f3e21f9fe&volcSecret=58a3a9b31d8e3584beeec08f3e21f9fe&volcTime=1785949581&major_anchor_level=common&arch_hrchy=w1&exp_hrchy=w1&unique_id=stream-408042517626094346_778_flv_Thirdgame0T010sd&t_id=037-20260730010621757B87535337D9FEB35D-IX0ceb
2026-07-30 01:06:22.632 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/酒馆战棋小糯米_=᳐⦁⩊⦁=᳐/2026-07-30_01-06/酒馆战棋小糯米_=᳐⦁⩊⦁=᳐_2026-07-30_01-06-22_segments.mp3.ffmpeg.log
2026-07-30 01:06:30.983 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-hs-f5.flive.douyincdn.com/thirdgame/stream-408042517626094346_Thirdgame0T010sd.flv?expire=1785949590&sign=ef4f800f4904d7ce8d76d776b46d7f65&volcSecret=ef4f800f4904d7ce8d76d776b46d7f65&volcTime=1785949590&exp_hrchy=w1&major_anchor_level=common&arch_hrchy=w1&unique_id=stream-408042517626094346_778_flv_Thirdgame0T010sd&t_id=037-202607300106303932E58C2231E0D45105-F8us2E
2026-07-30 01:06:30.984 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/酒馆战棋小糯米_=᳐⦁⩊⦁=᳐/2026-07-30_01-06/酒馆战棋小糯米_=᳐⦁⩊⦁=᳐_2026-07-30_01-06-30_segments.mp3.ffmpeg.log
2026-07-30 02:32:35.250 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-hs-f5.flive.douyincdn.com/thirdgame/stream-408042517626094346_Thirdgame0T010sd.flv?expire=1785949590&sign=ef4f800f4904d7ce8d76d776b46d7f65&volcSecret=ef4f800f4904d7ce8d76d776b46d7f65&volcTime=1785949590&exp_hrchy=w1&major_anchor_level=common&arch_hrchy=w1&unique_id=stream-408042517626094346_778_flv_Thirdgame0T010sd&t_id=037-202607300106303932E58C2231E0D45105-F8us2E
2026-07-30 02:32:35.251 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/酒馆战棋小糯米_=᳐⦁⩊⦁=᳐/2026-07-30_01-06/酒馆战棋小糯米_=᳐⦁⩊⦁=᳐_2026-07-30_02-32-35_segments.ts.ffmpeg.log
2026-07-30 02:32:51.272 | ERROR    | __main__:check_subprocess:645 - 序号6 酒馆战棋小糯米_=᳐⦁⩊⦁=᳐ FFmpeg录制失败，返回码: 1，完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/酒馆战棋小糯米_=᳐⦁⩊⦁=᳐/2026-07-30_01-06/酒馆战棋小糯米_=᳐⦁⩊⦁=᳐_2026-07-30_02-32-35_segments.ts.ffmpeg.log
2026-07-30 10:45:16.375 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-t5.douyincdn.com/thirdgame/stream-696274940526068539_sd.flv?expire=1785984314&sign=f0e0044fdcb05f2261c12dee18b0655f&volcSecret=f0e0044fdcb05f2261c12dee18b0655f&volcTime=1785984314&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&unique_id=stream-696274940526068539_827_flv_sd&t_id=037-20260730104513F3E8C776E1A6CF95CD4E-Zw1kNl
2026-07-30 10:45:16.375 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/=᳐/2026-07-30_10-45/=᳐_2026-07-30_10-45-16_segments.mp3.ffmpeg.log
2026-07-30 10:46:00.491 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-t5.douyincdn.com/thirdgame/stream-696274940526068539_sd.flv?expire=1785984360&sign=f040c61079d4c66e5d84532f508cd701&volcSecret=f040c61079d4c66e5d84532f508cd701&volcTime=1785984360&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&unique_id=stream-696274940526068539_827_flv_sd&t_id=037-20260730104559BCDD343A92FA98E3A7B6-49PCtL
2026-07-30 10:46:00.491 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/乔琪乔(酒馆战棋)/2026-07-30_10-46/乔琪乔(酒馆战棋)_2026-07-30_10-46-00_segments.mp3.ffmpeg.log
2026-07-30 10:46:09.663 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-t5.douyincdn.com/thirdgame/stream-696274940526068539_sd.flv?expire=1785984369&sign=c51df589b9fbf28fad586945d2752e63&volcSecret=c51df589b9fbf28fad586945d2752e63&volcTime=1785984369&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&unique_id=stream-696274940526068539_827_flv_sd&t_id=037-202607301046099B84CC23D15B51C26176-nTML47
2026-07-30 10:46:09.664 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/乔琪乔(酒馆战棋)/2026-07-30_10-46/乔琪乔(酒馆战棋)_2026-07-30_10-46-09_segments.mp3.ffmpeg.log
2026-07-30 10:52:36.373 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 10:52:36.374 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-t5.douyincdn.com/thirdgame/stream-696274940526068539_sd/index.m3u8?expire=1785984754&sign=8c6aa9e09123439f72c95503ced3fac3&volcSecret=8c6aa9e09123439f72c95503ced3fac3&volcTime=1785984754&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&t_id=037-202607301052332E12C699182617B70D4D-zGWRqd
2026-07-30 10:52:36.375 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/乔琪乔(酒馆战棋)/2026-07-30_10-46/乔琪乔(酒馆战棋)_2026-07-30_10-52-36_segments.ts.ffmpeg.log
2026-07-30 10:57:54.400 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 10:57:54.401 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-t5.douyincdn.com/thirdgame/stream-696274940526068539_sd/index.m3u8?expire=1785985073&sign=0c271a8cf076700825dc29038164bee6&volcSecret=0c271a8cf076700825dc29038164bee6&volcTime=1785985073&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&t_id=037-2026073010575310F790ED2D930DBFA76C-jYwL9o
2026-07-30 10:57:54.402 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/乔琪乔(酒馆战棋)/2026-07-30_10-46/乔琪乔(酒馆战棋)_2026-07-30_10-57-54_segments.ts.ffmpeg.log
2026-07-30 11:05:46.559 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 11:05:46.560 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-t5.douyincdn.com/thirdgame/stream-696274940526068539_sd/index.m3u8?expire=1785985544&sign=07eb82dc213a6bcedd09fc9ca5067728&volcSecret=07eb82dc213a6bcedd09fc9ca5067728&volcTime=1785985544&major_anchor_level=common&exp_hrchy=w1&arch_hrchy=w1&t_id=037-202607301105439672222B8F10AC870BDA-ZNGo2X
2026-07-30 11:05:46.560 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/乔琪乔(酒馆战棋)/2026-07-30_10-46/乔琪乔(酒馆战棋)_2026-07-30_11-05-46_segments.ts.ffmpeg.log
2026-07-30 20:43:04.952 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 20:48:04.373 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 20:53:04.733 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 20:58:07.160 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:03:10.536 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:08:08.946 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:13:11.444 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:18:13.945 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:23:15.304 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:28:17.679 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:33:20.048 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:38:17.468 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:43:22.897 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:48:28.355 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:53:27.761 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 21:58:27.181 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 22:03:30.946 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 22:08:33.374 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 22:13:28.709 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-30 22:18:25.068 | ERROR    | __main__:start_record:1846 - 错误信息: list index out of range 发生错误的行数: 810
2026-07-31 10:08:33.434 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-31 10:08:33.436 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-hls-l11.douyincdn.com/thirdgame/stream-696281171522487116_sd.m3u8?expire=1786068512&sign=80a7e5bcd334ab29811ce0e4ad08849b&exp_hrchy=w1&major_anchor_level=common&arch_hrchy=w1&t_id=037-20260731100831B26662306871C735E5D4-tShNzQ
2026-07-31 10:08:33.436 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/乔琪乔(酒馆战棋)/2026-07-31_10-08/乔琪乔(酒馆战棋)_2026-07-31_10-08-33_segments.ts.ffmpeg.log
2026-07-31 18:46:38.841 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-31 18:46:38.842 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-hs-f5.flive.douyincdn.com/thirdgame/stream-696283260013773578_sd/index.m3u8?expire=1786099597&sign=1319815d837a1d095a3eddc14d24bcb2&volcSecret=1319815d837a1d095a3eddc14d24bcb2&volcTime=1786099597&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&t_id=037-20260731184637B2A4FA4694A273ECF756-SXQU3i
2026-07-31 18:46:38.843 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/乔琪乔(酒馆战棋)/2026-07-31_18-46/乔琪乔(酒馆战棋)_2026-07-31_18-46-38_segments.ts.ffmpeg.log
2026-08-01 11:01:54.446 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-08-01 11:01:54.448 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-hls-l11.douyincdn.com/thirdgame/stream-696287181858931532_sd.m3u8?expire=1786158112&sign=a2391854057861060910b00b4d2338c6&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&t_id=037-2026080111015250580815820CF7D9C0EC-SKkU97
2026-08-01 11:01:54.448 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/乔琪乔(酒馆战棋)/2026-08-01_11-01/乔琪乔(酒馆战棋)_2026-08-01_11-01-54_segments.ts.ffmpeg.log
2026-08-01 20:56:54.105 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-08-01 20:56:54.108 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-hls-f11.douyincdn.com/thirdgame/stream-696289596501394186_sd.m3u8?expire=1786193812&sign=cace41a5758f75bce5ec5e63ae533344&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&t_id=037-20260801205652CB98EC968A2597E284F0-U5VMx9
2026-08-01 20:56:54.109 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/乔琪乔(酒馆战棋)/2026-08-01_20-56/乔琪乔(酒馆战棋)_2026-08-01_20-56-54_segments.ts.ffmpeg.log
2026-08-01 23:38:22.610 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制MP4，避免FLV输入兼容性问题
2026-08-01 23:38:22.614 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-q5.douyincdn.com/third/stream-696290238798758717_ld/index.m3u8?expire=1786203496&sign=9068bd1ea506f12d7e5634e552361898&volcSecret=9068bd1ea506f12d7e5634e552361898&volcTime=1786203496&exp_hrchy=s1&major_anchor_level=vip&s_anchor=1&arch_hrchy=s2&t_id=037-20260801233816F9B58DB8274351CAD718-JThGLW
2026-08-01 23:38:22.615 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/合家欢乐乐乐/2026-08-01_23-38/合家欢乐乐乐_2026-08-01_23-38-22_segments.mp4.ffmpeg.log
2026-08-02 04:50:33.492 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-08-02 04:50:33.493 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-hls-t11.douyincdn.com/stage/stream-119829387780031287_Stage0T000sd.m3u8?expire=1786222232&sign=890a37eb468e89f1dd60ce3039c0013b&exp_hrchy=w1&major_anchor_level=common&arch_hrchy=w1&t_id=037-202608020450328844A4187208FE75463A-Wyy6aB
2026-08-02 04:50:33.494 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/初恋小娜/2026-08-02_04-50/初恋小娜_2026-08-02_04-50-33_segments.ts.ffmpeg.log
2026-08-02 04:50:42.305 | DEBUG    | __main__:start_record:1349 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-08-02 04:50:42.306 | DEBUG    | __main__:check_subprocess:530 - FFmpeg输入源: http://pull-hls-t11.douyincdn.com/stage/stream-119829387780031287_Stage0T000sd.m3u8?expire=1786222242&sign=dadebc5ae40cd67ce5e9f5571ce5b349&exp_hrchy=w1&arch_hrchy=w1&major_anchor_level=common&t_id=037-20260802045042CE5A76524517CC458F40-IRV15i
2026-08-02 04:50:42.306 | DEBUG    | __main__:check_subprocess:531 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/初恋小娜/2026-08-02_04-50/初恋小娜_2026-08-02_04-50-42_segments.ts.ffmpeg.log
